City,State,Zip Code,Walk Score, Transit Score, Bike Score, Population
Rowland Heights,CA,,44,0,32,"48,993"
Gilroy,CA,,47,0,63,"48,821"
West Sacramento,CA,95605,39,20,61,"48,744"
La Mirada,CA,90638,47,0,51,"48,527"
Palm Desert,CA,,28,0,40,"48,445"
Rancho Santa Margarita,CA,,34,0,34,"47,853"
Aliso Viejo,CA,,35,0,34,"47,823"
Poway,CA,,30,0,31,"47,811"
Cypress,CA,90630,53,30,61,"47,802"
Covina,CA,91723,59,34,48,"47,796"
Florin,CA,,45,0,46,"47,513"
Azusa,CA,,58,43,49,"46,361"
Dublin,CA,94568,36,0,56,"46,036"
Antelope,CA,95843,34,0,44,"45,770"
Ceres,CA,,44,17,43,"45,417"
San Luis Obispo,CA,,56,28,69,"45,119"
Palm Springs,CA,92264,35,30,46,"44,552"
San Jacinto,CA,92582,27,0,42,"44,199"
Lincoln,CA,,22,0,47,"42,819"
Altadena,CA,91001,51,0,44,"42,777"
North Highlands,CA,95660,52,32,56,"42,694"
El Centro,CA,,51,0,46,"42,598"
Newark,CA,,57,31,48,"42,573"
Lompoc,CA,,53,0,65,"42,434"
El Dorado Hills,CA,95762,12,0,18,"42,108"
Bell Gardens,CA,,72,0,61,"42,072"
Danville,CA,94526,25,0,34,"42,039"
Rancho Palos Verdes,CA,90275,28,0,20,"41,643"
San Bruno,CA,94066,56,0,35,"41,114"
Rohnert Park,CA,94928,41,0,55,"40,971"
Coachella,CA,,39,0,41,"40,704"
La Puente,CA,,60,0,46,"39,816"
San Gabriel,CA,91776,74,38,50,"39,718"
Campbell,CA,95008,55,39,71,"39,349"
Brea,CA,,50,0,46,"39,282"
Culver City,CA,90232,76,48,71,"38,883"
Calexico,CA,,44,0,45,"38,572"
Stanton,CA,90680,63,35,55,"38,186"
Morgan Hill,CA,,37,23,50,"37,882"
La Quinta,CA,92253,22,0,34,"37,467"
Pacifica,CA,,45,0,26,"37,234"
Beaumont,CA,,25,0,31,"36,877"
Montclair,CA,91763,57,33,54,"36,664"
Monrovia,CA,91016,62,35,47,"36,590"
Willowbrook,CA,,58,0,52,"35,983"
Los Banos,CA,,33,0,39,"35,972"
Martinez,CA,,41,0,39,"35,824"
Temple City,CA,91780,57,40,56,"35,558"
Bell,CA,,77,0,61,"35,477"
Oakley,CA,94561,28,0,49,"35,432"
Manhattan Beach,CA,90266,73,0,52,"35,135"
Hollister,CA,,44,17,47,"34,928"
Claremont,CA,91711,48,0,50,"34,926"
San Juan Capistrano,CA,,34,0,46,"34,593"
Moorpark,CA,,35,0,32,"34,421"
West Hollywood,CA,,91,61,58,"34,399"
Rubidoux,CA,,31,0,30,"34,280"
La Presa,CA,,44,32,32,"34,169"
Beverly Hills,CA,90212,75,55,52,"34,109"
Orangevale,CA,95662,31,0,40,"33,960"
San Dimas,CA,91773,37,0,33,"33,371"
Dana Point,CA,92629,53,26,42,"33,351"
Pleasant Hill,CA,94523,54,28,61,"33,152"
Foothill Farms,CA,95842,46,0,55,"33,121"
Seaside,CA,93955,53,0,48,"33,025"
Lawndale,CA,,82,0,59,"32,769"
Oildale,CA,,45,29,47,"32,684"
Wildomar,CA,92595,15,0,22,"32,176"
Menlo Park,CA,94025,58,0,80,"32,026"
Westmont,CA,,58,57,56,"31,853"
Adelanto,CA,,8,0,31,"31,765"
La Verne,CA,,42,0,37,"31,063"
Fair Oaks,CA,95628,40,23,40,"30,912"
Foster City,CA,94404,50,0,64,"30,567"
Fallbrook,CA,,39,0,26,"30,534"
Laguna Hills,CA,,41,27,40,"30,344"
Saratoga,CA,,28,0,45,"29,926"
Goleta,CA,,44,0,73,"29,888"
El Paso de Robles (Paso Robles),CA,,38,0,30,"29,793"
Banning,CA,,29,0,32,"29,603"
Los Gatos,CA,,47,0,51,"29,413"
Santa Paula,CA,,59,0,47,"29,321"
Walnut,CA,,32,33,28,"29,172"
San Pablo,CA,,73,45,50,"29,139"
Los Altos,CA,,46,27,73,"28,976"
Orcutt,CA,,25,0,40,"28,905"
Burlingame,CA,,70,0,64,"28,806"
San Carlos,CA,94070,47,0,41,"28,406"
Atascadero,CA,,27,0,29,"28,310"
Spring Valley,CA,,36,28,23,"28,205"
Atwater,CA,,41,0,41,"28,168"
East Palo Alto,CA,,59,0,71,"28,155"
Suisun City,CA,,34,0,49,"28,111"
Monterey,CA,,53,31,47,"27,810"
Ridgecrest,CA,,37,0,50,"27,616"
Maywood,CA,90270,80,43,63,"27,395"
Eureka,CA,,69,0,71,"27,191"
Norco,CA,92860,24,0,26,"27,063"
Benicia,CA,,34,0,23,"26,997"
Windsor,CA,,36,0,48,"26,801"
Imperial Beach,CA,91932,69,36,63,"26,324"
Paradise,CA,,21,0,28,"26,218"
Desert Hot Springs,CA,,34,27,33,"25,938"
Belmont,CA,,47,11,37,"25,835"
Soledad,CA,,29,0,40,"25,738"
South Pasadena,CA,91030,67,50,51,"25,619"
Wasco,CA,,36,0,37,"25,545"
West Whittier-Los Nietos,CA,,61,0,57,"25,540"
Lemon Grove,CA,91945,52,39,34,"25,320"
Twentynine Palms,CA,,18,0,31,"25,048"
Brawley,CA,,46,0,45,"24,953"
North Tustin,CA,,23,0,32,"24,917"
Vineyard,CA,,14,0,31,"24,836"
Corcoran,CA,,21,0,33,"24,813"
Lemoore,CA,,43,0,45,"24,531"
Sanger,CA,,48,0,47,"24,270"
Reedley,CA,,50,0,52,"24,194"
Seal Beach,CA,90740,41,30,58,"24,168"
Hercules,CA,94547,29,0,26,"24,060"
Lafayette,CA,,26,16,28,"23,893"
Bloomington,CA,,33,0,36,"23,851"
Cudahy,CA,,62,45,61,"23,805"
Galt,CA,,33,0,37,"23,647"
San Fernando,CA,,79,51,57,"23,645"
El Cerrito,CA,94530,67,51,60,"23,549"
San Lorenzo,CA,,56,35,56,"23,452"
Loma Linda,CA,92354,37,27,40,"23,261"
Selma,CA,,47,0,42,"23,219"
Isla Vista,CA,,60,0,90,"23,096"
French Valley,CA,,9,0,25,"23,067"
Calabasas,CA,,23,0,15,"23,058"
Ladera Ranch,CA,92694,27,0,23,"22,980"
Valinda,CA,,54,0,47,"22,822"
Lennox,CA,,74,54,57,"22,753"
Laguna Beach,CA,,43,32,24,"22,723"
Rosemont,CA,,43,32,56,"22,681"
Riverbank,CA,,38,0,43,"22,678"
Barstow,CA,,40,30,37,"22,639"
West Puente Valley,CA,,56,0,50,"22,636"
Temescal Valley,CA,,10,0,12,"22,535"
Mira Loma,CA,,28,0,33,"21,930"
Ashland,CA,,64,52,51,"21,925"
Port Hueneme,CA,,58,33,60,"21,723"
West Carson,CA,,56,0,54,"21,699"
Millbrae,CA,94030,55,0,41,"21,532"
Dinuba,CA,,56,0,47,"21,453"
South Lake Tahoe,CA,,46,0,66,"21,403"
Bay Point,CA,,43,0,47,"21,349"
Duarte,CA,,48,0,48,"21,321"
Rancho San Diego,CA,,24,0,15,"21,208"
Blythe,CA,,23,0,35,"20,817"
Yucca Valley,CA,,20,0,30,"20,700"
Oakdale,CA,,52,16,52,"20,675"
Lakeside,CA,,28,0,27,"20,648"
Winter Gardens,CA,,33,0,17,"20,631"
South San Jose Hills,CA,,40,36,40,"20,551"
Patterson,CA,,42,0,39,"20,413"
Granite Bay,CA,95746,13,0,31,"20,402"
Agoura Hills,CA,,37,0,26,"20,330"
Ramona,CA,,32,0,34,"20,292"
Lomita,CA,90717,74,37,58,"20,256"
La Cañada Flintridge,CA,,34,0,25,"20,246"
Glen Avon,CA,,28,0,31,"20,199"
South El Monte,CA,,61,0,55,"20,116"
Marina,CA,,46,0,56,"19,718"
La Crescenta-Montrose,CA,,53,0,28,"19,653"
Hermosa Beach,CA,90254,87,0,71,"19,506"
American Canyon,CA,,36,0,46,"19,454"
Arvin,CA,,41,0,37,"19,304"
Castaic,CA,,24,0,16,"19,015"
Coronado,CA,92118,54,32,73,"18,912"
Casa de Oro-Mount Helix,CA,,32,0,16,"18,762"
Chowchilla,CA,,25,0,37,"18,720"
Albany,CA,94706,84,55,91,"18,539"
Mead Valley,CA,,5,0,24,"18,510"
Pinole,CA,94564,42,0,28,"18,390"
Dixon,CA,,48,0,42,"18,351"
Cameron Park,CA,,23,0,22,"18,228"
Rosamond,CA,,18,0,33,"18,150"
Lathrop,CA,95330,29,0,40,"18,023"
Susanville,CA,,25,0,33,"17,947"
Linda,CA,,26,0,45,"17,773"
Orinda,CA,,9,0,18,"17,643"
Prunedale,CA,,4,0,11,"17,560"
Stevenson Ranch,CA,,19,0,20,"17,557"
East Hemet,CA,,25,0,38,"17,418"
Arroyo Grande,CA,,44,0,39,"17,252"
Arcata,CA,,48,0,65,"17,231"
Rancho Mirage,CA,92270,15,0,34,"17,218"
Live Oak,CA,,56,29,81,"17,158"
Shafter,CA,,45,0,43,"16,988"
Nipomo,CA,,25,0,29,"16,714"
El Segundo,CA,90245,65,0,49,"16,654"
Artesia,CA,90701,78,36,60,"16,522"
Denver (the largest city in Colorado),CO,80219,61,45,72,"600,158"
