GeoFips,GeoName,LineCode,Description,2023
14020,"Bloomington, IN (Metropolitan Statistical Area)",1,RPPs: All items,93.372
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,"  RPPs: Goods",94.057
14020,"Bloomington, IN (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",81.163
14020,"Bloomington, IN (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",87.339
14020,"Bloomington, IN (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.592
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1,RPPs: All items,90.340
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,"  RPPs: Goods",98.458
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",60.013
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",115.919
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.633
14260,"Boise City, ID (Metropolitan Statistical Area)",1,RPPs: All items,93.427
14260,"Boise City, ID (Metropolitan Statistical Area)",2,"  RPPs: Goods",93.861
14260,"Boise City, ID (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",98.041
14260,"Boise City, ID (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",68.076
14260,"Boise City, ID (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",92.884
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1,RPPs: All items,111.574
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,"  RPPs: Goods",104.745
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",148.166
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",172.364
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",106.129
14500,"Boulder, CO (Metropolitan Statistical Area)",1,RPPs: All items,99.851
14500,"Boulder, CO (Metropolitan Statistical Area)",2,"  RPPs: Goods",94.333
14500,"Boulder, CO (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",148.716
14500,"Boulder, CO (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",79.096
14500,"Boulder, CO (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",93.013
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1,RPPs: All items,90.517
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.178
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",66.071
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",80.985
14540,"Bowling Green, KY (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.318
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",1,RPPs: All items,107.541
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",2,"  RPPs: Goods",104.775
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",132.713
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",82.563
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",102.889
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1,RPPs: All items,106.486
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2,"  RPPs: Goods",97.372
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",143.459
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",152.634
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",102.639
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1,RPPs: All items,85.183
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,"  RPPs: Goods",91.935
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",55.729
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",88.270
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",95.265
15260,"Brunswick, GA (Metropolitan Statistical Area)",1,RPPs: All items,89.710
15260,"Brunswick, GA (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.911
15260,"Brunswick, GA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",62.448
15260,"Brunswick, GA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",85.911
15260,"Brunswick, GA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.049
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1,RPPs: All items,94.393
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2,"  RPPs: Goods",98.137
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",75.943
